week,day_index,day_of_week,date,meal_slot,position,food_id,name,servings,calories,protein_g,carbs_g,fat_g,fiber_g
1,0,Monday,,breakfast,0,egg_whole_dried__breakfast,"Egg, whole, dried",1.0,575.0,48.1,1.9,39.8,0.0
1,0,Monday,,lunch,0,chicken_parm_sandwich__lunch,Chicken Parm Sandwich,1.0,650.0,40.0,55.0,30.0,6.0
1,0,Monday,,lunch,1,quinoa_salad_1_cup__lunch,Quinoa Salad (1 cup),1.0,260.0,9.0,32.0,12.0,6.0
1,0,Monday,,dinner,0,veal_parmesan_1_serving__dinner,Veal Parmesan (1 serving),1.0,550.0,40.0,30.0,30.0,4.0
1,0,Monday,,dinner,1,baked_potato_medium__dinner,Baked Potato (medium),1.0,160.0,4.3,36.0,0.2,3.8
1,0,Monday,,snack,0,chai_latte_12_oz__snack,Chai Latte (12 oz),1.0,190.0,7.0,32.0,4.0,1.0
1,1,Tuesday,,breakfast,0,eggs_benedict_1_serving__breakfast,Eggs Benedict (1 serving),1.0,600.0,25.0,30.0,40.0,3.0
1,1,Tuesday,,lunch,0,shawarma_chicken_1_wrap__lunch,Shawarma (Chicken 1 wrap),1.0,550.0,30.0,50.0,25.0,6.0
1,1,Tuesday,,lunch,1,turkey_sandwich_on_wheat__lunch,Turkey Sandwich (on wheat),1.0,340.0,22.0,34.0,12.0,5.0
1,1,Tuesday,,dinner,0,osso_buco_1_serving__dinner,Osso Buco (1 serving),1.0,550.0,45.0,15.0,30.0,4.0
1,1,Tuesday,,dinner,1,wild_rice_1_cup_cooked__dinner,Wild Rice (1 cup cooked),1.0,166.0,6.5,35.0,0.6,3.0
1,1,Tuesday,,snack,0,cheese_mozzarella_low_moisture_part_skim__snack,"Cheese, mozzarella, low moisture, part-skim",0.75,223.5,17.8,3.3,15.3,0.0
1,2,Wednesday,,breakfast,0,egg_yolk_dried__breakfast,"Egg, yolk, dried",1.0,654.0,34.2,1.1,55.5,0.0
1,2,Wednesday,,lunch,0,reuben_sandwich__lunch,Reuben Sandwich,1.0,650.0,28.0,35.0,40.0,5.0
1,2,Wednesday,,lunch,1,ceviche_1_cup_fish__lunch,Ceviche (1 cup fish),1.0,180.0,25.0,15.0,2.0,3.0
