food_item,category,meal_type,serving_description,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg
String Hoppers (Idiyappam),Sri Lankan - Rice Flour,breakfast,10 pieces,350,7.0,76.0,1.5,3.0,0.5,180,0
Milk Rice (Kiribath),Sri Lankan - Rice,breakfast,2 slices,320,5.0,48.0,12.0,2.0,1.0,240,0
Pol Roti (Coconut Roti),Sri Lankan - Flatbread,breakfast,2 pieces,340,6.0,44.0,15.0,5.0,2.0,320,0
Egg Hoppers (Bittara Appa),Sri Lankan - Hoppers,breakfast,2 pieces,300,12.0,34.0,13.0,2.0,3.0,260,186
Plain Hoppers (Appa),Sri Lankan - Hoppers,breakfast,3 pieces,240,4.0,46.0,4.0,1.5,4.0,150,0
Kola Kanda (Herbal Porridge),Sri Lankan - Porridge,breakfast,1 cup,120,3.0,20.0,3.0,3.0,2.0,90,0
Thosai (Dosa),Sri Lankan - Fermented Batter,breakfast,2 pieces,260,8.0,46.0,5.0,3.0,1.0,300,0
Idli,Sri Lankan - Steamed Rice Cake,breakfast,3 pieces,180,6.0,36.0,1.0,2.0,0.5,220,0
Pittu with Coconut Milk,Sri Lankan - Steamed Rice Flour,breakfast,1 cup,380,7.0,60.0,13.0,4.0,2.0,200,0
Bread with Dhal Curry,Sri Lankan - Bread & Curry,breakfast,2 slices + half cup,330,12.0,52.0,8.0,6.0,3.0,480,0
Rice and Chicken Curry,Sri Lankan - Rice & Curry,lunch,1 plate,650,35.0,85.0,18.0,5.0,4.0,780,95
Rice and Fish Curry,Sri Lankan - Rice & Curry,lunch,1 plate,600,32.0,84.0,14.0,5.0,3.0,720,65
Rice and Dhal Curry (Vegetarian),Sri Lankan - Rice & Curry,lunch,1 plate,520,16.0,90.0,10.0,9.0,4.0,640,0
Yellow Rice with Chicken,Sri Lankan - Rice,lunch,1 plate,700,33.0,92.0,22.0,4.0,5.0,860,90
Chicken Fried Rice,Sri Lankan - Fried Rice,lunch,1 plate,720,30.0,95.0,24.0,4.0,6.0,980,85
